summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,queue,date
RI3QNzdO7pPeuodTcBFzWzQF_bp1luydg1Tnc9fhMN3O0Yw,O THRESHÃO,479,I,236,221,False,False,False,False,challenger,14/03/2021
Yab-LK90JCuZbV4jKq9DkF3IjZbhfZ_wBnbRjanMd4vyuw,thomas1,340,I,73,69,False,False,True,False,challenger,14/03/2021
fuWfX3YbYfHEAf6eWErriWDFvp80F87Wnf1ciwY47WYY5zXwyQmajg70bQ,wow freestyle,625,I,102,82,False,False,False,False,challenger,14/03/2021
C-h10hCSFqBzz8nG1uYKyms85PULHbvgoeGcR8eGAONV9zM,Estelionator 171,511,I,138,117,False,False,True,False,challenger,14/03/2021
RvkP2FAf6I5BDfugOijkdXI2yXGFrcaEtjmpEcnNaAlwcg,CNB Disto,422,I,156,143,False,False,True,False,challenger,14/03/2021
XREGgsgBlD4QI99fnisc4En9fBOWuwLo6zDHqJz8m6Qpng,Lham,543,I,166,145,True,False,False,False,challenger,14/03/2021
xEww-NF20cHn9LmyhjNVHIlXireRzgqagK5kQIL9MxvDwfs,gaethan le tueur,477,I,178,147,False,False,True,False,challenger,14/03/2021
rZpM4lMvoCX5EyFOkNdPrucWCB-YcZ_hnqJgHj7QkGuZ,llIIllIlIlIIIll,330,I,80,73,False,False,True,False,challenger,14/03/2021
GH7FKrzkB1YC3zy6RFXTO6R6dbVn6zNsY2B3FnisDXaL_-s,Zehnder,426,I,95,77,False,False,False,True,challenger,14/03/2021
z80Jzuq9aoa9LJ1Adoux0V-ZzdweL6USqBleIUOMTqSYIA,Zadx,348,I,33,10,False,False,True,False,challenger,14/03/2021
nMYJeZ6FMFsQ_5ARsPfoz0magv8WdiFAW9xFYY0dPiUVJw,Ayann,294,I,117,105,False,False,True,False,challenger,14/03/2021
LhDY0b0-T-dfCsY1nogtbt4d_Oe1V3t0ESyRldjffOBamV0,Kutcha,331,I,100,96,False,False,False,False,challenger,14/03/2021
NnAwcujyWhDRkflix5pGxhkycqzgxpBmx9BYOH-Vn_PnXuI,TOPKING7,377,I,155,136,False,False,True,False,challenger,14/03/2021
-sm5bR6i_Prdo5UBwRJ2DSShKqRi_WfEDvPRp9kc_-QiJ6U,NEJlRE HADO,346,I,50,28,False,False,True,False,challenger,14/03/2021
MJnG8FtfsQiJRuU5eGaH0dAcHYvla8gxALLjQPlNTmh1XM8,säd clöwn,342,I,143,124,False,False,True,False,challenger,14/03/2021
9WI_6I94qoyLSSFVtRV4Ublbj2eSxWQZxcfpsLufOri-Yok,vicenzo yeager,511,I,127,119,False,False,False,True,challenger,14/03/2021
LWTfzQaI3JQGFpVe1dcLjjeHjql8euWCkoAOxudJvPQluA,muq,370,I,128,126,True,False,False,False,challenger,14/03/2021
dunurea54AUV6sfZijTsi8OTeG5cNdqaTVQSg-4UoRhzwvs,Nínjá,568,I,199,169,True,False,False,False,challenger,14/03/2021
mc1As6-mVQXmkZSgNQcygaO0lODw6zLD4Z1_hBwOy6N9skQ,YCN1l8qPPK7rG7RQ,484,I,191,176,False,False,False,False,challenger,14/03/2021
1UF7zWk18j1h_FoPFD-IzhCtQj6WrAxGz-cL28g3VpxzCA,Tecelã De PDL,601,I,167,141,False,False,False,False,challenger,14/03/2021
bh87-5yIuhhisueO1aNTT51CHVWUGk-_JuM6QmWz_77wnQ,ThayT ,340,I,62,48,False,False,True,False,challenger,14/03/2021
gGiZWkjXlvtYVPIfFoIXNzOUABNm4Khai_dYROPFXiZIui8,Rammus Mãozinha,345,I,100,61,False,False,True,False,challenger,14/03/2021
LUCcHl-4nXPZ9Y0pdFsUoPUewX-KiA0rsT_lvIl5wYYuCD4,Emily Saeko,330,I,63,55,False,False,True,False,challenger,14/03/2021
wNKnGE1aQ6V5U5vJh9X4aHECn3gW55jFSaPZqrDLPS1jog,doravante,428,I,66,43,False,False,False,False,challenger,14/03/2021
CYncFFoUnQyyZCPLKAtSX3LrRj-BKGsiNb65ljSY8enYJg,Heytun,345,I,40,15,False,False,False,True,challenger,14/03/2021
X4Mu5gxMW1dqvoJpviTWrOmwpQLB23kwO19qmb0PngW1,MiIo,497,I,219,209,False,False,False,False,challenger,14/03/2021
cXjfp_zqI5HtJjIl-ysd5lbAuDw2F9wtwo54ZxO_8dCp,MADKING V2,386,I,57,50,False,False,False,False,challenger,14/03/2021
ItYnbSiVCKPp7sAvFC_kEYMPwH5A2eQAMjblJQ4XVh3l4Q,Tepeu,566,I,252,229,False,False,False,False,challenger,14/03/2021
Mv3fWCiRcrdJc6VSkIDBwTrZP1Gy5wWAh5XWHf6r06ys,zPosêiDoN,377,I,421,401,False,False,True,False,challenger,14/03/2021
TKbKrwIbbViVEY9hPvfEPnZ7NeNvyiiLHw9_zVVT4m9HaA,Deus da Pamonha,369,I,139,117,False,False,False,False,challenger,14/03/2021
zSffpcaTDpJNbnCw6zT-tPh2iXhp8LnSr0rKetCnSDgdyw,FNT fimo,605,I,176,147,True,False,False,False,challenger,14/03/2021
ZJ8P84SgbvmKMSULfAxV-BdHY2yuLPh_PMlAybm7miYb,Picknn2,540,I,176,163,False,False,True,False,challenger,14/03/2021
vx5BE_QieNoJtv1r7mc3zUpaQJhARuF_Xz7bbYQgByTYCA,TheCortez,411,I,80,58,False,False,False,False,challenger,14/03/2021
pqDxEu7TV1Oe9vRY7vHostDZ1Ciroj6jhqJQ5goARqRzFQ,THIAGUlNHO,548,I,144,113,False,False,True,False,challenger,14/03/2021
aUkZwnIhOoydb8s30gAXER0eB5mOEU1E4rgwB4f-4U6ekEg,PEOPINTO,383,I,110,62,False,False,False,False,challenger,14/03/2021
_2flpxlp9AdPSsuyeZ9KmR38eDIegahHntlgk-XR-OKCVH0,Rapel,570,I,118,86,False,False,False,True,challenger,14/03/2021
JX5kjjISDrMBfna0f5o5jXhEgf6p1n4fErrTN7IB0l7q6nc,G Ryan,338,I,55,49,False,False,False,False,challenger,14/03/2021
QAcI5vWdDTluyUZzbZ0ndAjkuqiclsWhROTOkzy6xitJXeA,Vladimir Broken,340,I,129,105,False,False,True,False,challenger,14/03/2021
wkSiPPQ0GP4n0EZD5lT5e-0bGRxcZglzoF51iSvC9qJYBA0,FROST THE GOD,339,I,58,53,False,False,False,False,challenger,14/03/2021
p1qeOj7Qt-2ikNjeeRBQBfo7yp_5Bx6r_GhzpwmdMGS10Q,Rag1,553,I,168,138,True,False,False,False,challenger,14/03/2021
THG_LOXxN6iAA-z1KVQajDs1MwueqGKIIcltejoCGVoe,TSK Dekk00,431,I,146,129,False,False,False,True,challenger,14/03/2021
kFNU5fbsJWkXBuGe_1Udz-fd_H6McwkbA2_h_bWnp26v9Y6AlNpabJcklw,FA Sym,585,I,106,57,False,False,True,False,challenger,14/03/2021
Ztrsh45xwKdxCu3898jrKdauZRNjJzVi5e7PE7ViBylg,aspas do lol,554,I,51,28,False,False,False,False,challenger,14/03/2021
hncR0LB6bOkYErXW7bjZa5rJ6c7IIxtV5XcShf3Zyi9U6hY,DogMaaw,294,I,109,104,False,False,True,False,challenger,14/03/2021
a6vNggGVYjSKnM_sIjs8CFDSQ-Yf-89AiwDqi7b19t_65mE,Yagi Blue,392,I,69,51,False,False,False,False,challenger,14/03/2021
5U6CON1olVURwelwepcD39umSwmkVlrtyWGrYM4VdamMvQ,LITTLE CHAVERO,365,I,129,118,True,False,False,False,challenger,14/03/2021
W9hop17FpZ5z45eXe6yyV5YozBB5YdDGa8YHRlBtaUoR6g,Aegis,446,I,78,72,False,False,False,False,challenger,14/03/2021
5Ao5DtPV_xhz9-UlzTXrcoNx-kw8T-ZCsKSR35NSpHKE,Cm CoL D Curioso,332,I,74,60,False,False,False,False,challenger,14/03/2021
F30rOwpUmjsbNzWlMFDoWVjBDUyUIhfLavuX0HoO3THNZg,FUR Betão,602,I,134,117,False,False,True,True,challenger,14/03/2021
9H4dscGZgMcWhBUB9XQVUIVuzvPOhwPCb0ecPlKuuBtj2g,twitch gubri,525,I,118,92,False,False,False,False,challenger,14/03/2021
N_5fTRH1f4fEfLBnHEaO93mvpRnOcsF167zrjFeTQIIZtA,iMaaasTeR,421,I,126,116,False,False,False,False,challenger,14/03/2021
aIr_QtZfYG8Za2x8h4tDwsbCoIQJjhWStC0xgwE3bnFWhq4,kessen spirit,351,I,103,80,False,False,False,False,challenger,14/03/2021
2uyRGUJCT6pzqdJ3vCnf8ecU82RAanig8gQB2J9se3k7Vw,cblolbr,325,I,83,52,False,False,True,False,challenger,14/03/2021
_PKR5rmRZe6sWr52kzX4Yy9jkS5uK29b6e4ceoDQtEovFDQ,FA Senshi,569,I,80,48,False,False,False,False,challenger,14/03/2021
